,Course_Code,Course_Name,R1_Points,R2_Points
552,GA283,Contemporary Art (portfolio),790,
553,GA284,Design,331,
554,GA285,Education (Art,Design and Graphics),406
555,GA380,International Hotel Management,218,
556,GA381,International Tourism Management,252,
557,GA382,Culinary and Gastronomic Science,235,
558,GA384,Event Management with Public Relations,230,
559,GA480,Construction Management,302,
560,GA482,Quantity Surveying and Construction Economics,304,
561,GA483,Architectural Technology,281,273
562,GA484,Civil Engineering,377,
563,GA580,Software and Electronic Engineering,300,
564,GA680,Mechanical Engineering,400,
565,GA681,Energy Engineering,312,
566,GA682,Biomedical Engineering,331,
567,GA683,Agricultural Engineering,304,
568,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,
569,GA685,Manufacturing Engineering Design,336,
570,GA780,Applied Freshwater and Marine Biology,366,
571,GA781,Applied Biology and Biopharmaceutical Science,381,
572,GA782,Chemical and Pharmaceutical Science,356,
573,GA783,Physics and Instrumentation,301,
574,GA784,Science (Undenominated),445,
575,GA785,Medical Science,517,510
576,GA786,Forensic Science and Analysis,408,
577,GA787,Computing in Software Development,310,
578,GA788,Computing and Digital Media,270,
579,GA789,Agriculture and Environmental Management,340,
580,GA790,Sport and Exercise Science,376,366
581,GA791,Public Health Nutrition,368,
582,GA880,General Nursing,440,
583,GA882,Psychiatric Nursing,369,
584,GA885,Outdoor Education,269,
585,GA887,History and Geography,201,
586,GA889,Applied Social Care,265,
587,GA890,Early Childhood Education and Care,281,227
588,GA891,Geography and Outdoor Education,261,
589,GA980,Education (Design Graphics and Construction),410,
590,GA981,Furniture Design and Manufacture,346,
591,GA982,Furniture Making and Architectural Woodworking,360,
592,GA984,Furniture Design,Making and Technology - Common E,486
593,GY101,Arts (Joint-Honours),327,326
594,GY104,BSc (Psychology),564,555
595,GY105,Arts (History),357,
596,GY109,Arts (Mathematics and Education),413,
597,GY110,Arts (Children and Youth Studies - options),387,
598,GY111,Arts (English and Creative Writing),421,420
599,GY113,Arts with Human Rights,413,
600,GY115,Arts with Performing Arts Studies,300,
601,GY118,Arts (Drama,Theatre and Performance Studies),453
602,GY119,Arts (Journalism),484,473
603,GY122,Na Dána (Cumarsáid agus Gaeilge),410,
604,GY123,Applied Social Sciences,419,
605,GY125,Arts (Digital Arts and Technology),403,
606,GY127,Arts (Film and Digital Media),430,421
607,GY128,Arts (Global Languages),346,
608,GY129,Arts (Global Experience),465,
609,GY130,Arts (Music),462,
610,GY132,Government (Politics,Economics and Law),465
611,GY133,Education (Computer Science and Mathematical Studi,454,
612,GY134,Geography and Geosystems,425,
613,GY135,Arts (Global Media),442,
614,GY136,Na Dána (Léann Teanga - options),526,
615,GY201,Commerce,476,
616,GY202,Commerce (International) with French,520,
617,GY203,Commerce (International) with German,518,
618,GY204,Commerce (International) with Spanish,506,
619,GY206,Business Information Systems (Work Placement and O,509,
620,GY207,Commerce (Accounting) including optional Global Ex,543,
621,GY208,Commerce (Gaeilge),508,
622,GY209,Commerce (Global Experience),551,
623,GY250,Law and Business,510,
624,GY251,Law (BCL),542,
625,GY252,Law (BCL) and Human Rights,565,
626,GY253,Law and Taxation,506,
627,GY254,Law (BCL),Criminology and Criminal Justice,548
628,GY261,Business Studies in International Hotel Management,503,
629,GY262,Commerce in International Hotel Management (interv,709,
630,GY301,Science,489,488
631,GY303,Biomedical Science,613,
632,GY304,Biotechnology,498,495
633,GY308,Environmental Science,431,430
634,GY309,Financial Mathematics and Economics,509,
635,GY310,Marine Science,467,
636,GY313,Environmental Health and Safety,412,
637,GY314,Earth and Ocean Sciences,422,
638,GY318,Biopharmaceutical Chemistry,555,
639,GY319,Mathematical Science,543,
640,GY320,Physics (Degree options: Applied Astrophysics Biom,465,
641,GY321,Genetics and Genomics,532,
642,GY322,Agricultural Sciences,485,
643,GY350,Computer Science and Information Technology,495,
644,GY401,Engineering (Undenominated),522,520
645,GY402,Civil Engineering,533,521
646,GY405,Mechanical Engineering,541,
647,GY406,Electronic and Computer Engineering,555,
648,GY408,Biomedical Engineering,554,
649,GY410,Project and Construction Management,431,
650,GY413,Energy Systems Engineering,509,
651,GY414,Electrical and Electronic Engineering,433,
652,GY501,Medicine (five year/six year course,HPAT required,737
653,GY502,Occupational Therapy,601,
654,GY503,Speech and Language Therapy,578,
655,GY504,Podiatric Medicine,531,526
656,GY515,General Nursing (Galway and Portiuncula),502,496
657,GY516,Mental Health Nursing,475,441
658,GY517,Midwifery,520,509
659,LY108,Business - Accounting,312,
660,LY118,Business,288,
661,LY128,Marketing with Online Technologies,261,261
662,LY208,Law,300,290
663,LY228,Sports and Exercise - Common Entry,290,
664,LY408,Design - Common Entry,301,
665,LY508,Fire Safety Engineering,283,
666,LY518,Quantity Surveying,304,
667,LY528,Construction Management,262,
668,LY538,Architectural Technology,234,234
669,LY608,Mechanical Engineering,300,
670,LY618,Electronic Engineering,321,
671,LY708,Applied Computing,320,
672,LY748,Computer Science,316,
673,LY818,Science - Common Entry,302,
674,LY828,Agriculture - Common Entry,308,300
675,LY908,General Nursing,429,
676,LY918,Psychiatric Nursing,367,
677,LY928,Intellectual Disability Nursing,357,
678,LY968,Early Childhood Care,Health and Education,288
679,LY978,Health and Social Care - Common Entry,279,
680,MI001,Contemporary and Applied Theatre Studies,209,
681,MI002,Arts,280,
682,MI004,Education - Primary Teaching - International,589,
683,MI005,Education - Primary Teaching,522,
684,MI006,Education - Primary Teaching - Gaeltacht Applicant,485,
685,MI007,Early Childhood Care and Education,409,
686,MI008,Education and Psychology - Primary Teaching,590,
687,MI009,Education,Business Studies and Accounting,434
688,MI010,Education,Business Studies and Religious Studies,370
