,Course_Code,Course_Name,R1_Points21,R2_Points21
543,DK864,Film and Television Production,308.0,
544,DK865,Audio and Music Production,352.0,
545,DK870,General Nursing,440.0,440.0
546,DK872,Intellectual Disability Nursing,367.0,366.0
547,DK874,Mental Health Nursing,398.0,
548,DK876,Early Childhood Studies,300.0,
549,DK877,Midwifery,482.0,477.0
550,DK880,Health and Physical Activity,301.0,
551,DK882,Agriculture (Award options),342.0,
552,DK883,Science (Award options),373.0,368.0
553,DK884,Sustainable Agriculture,348.0,
554,DK885,Agri-Food Production,,
555,DK886,Biopharmaceutical Science,379.0,
556,DK887,Environmental Science,377.0,
557,GA181,Accounting,303.0,
558,GA182,Business,285.0,
559,GA183,Business Information Systems,298.0,
560,GA184,Marketing and Sales,300.0,
561,GA185,Finance and Economics,318.0,
562,GA186,Business with Entrepreneurship,287.0,
563,GA187,Rural Enterprise and Agri-Business,291.0,
564,GA281,Film and Documentary,310.0,301.0
565,GA282,Heritage Studies,252.0,
566,GA283,Contemporary Art (portfolio),790.0,
567,GA284,Design,331.0,
568,GA285,Education (Art  Design and Graphics),406.0,
569,GA380,International Hotel Management,218.0,
570,GA381,International Tourism Management,252.0,
571,GA382,Culinary and Gastronomic Science,235.0,
572,GA384,Event Management with Public Relations,230.0,
573,GA480,Construction Management,302.0,
574,GA482,Quantity Surveying and Construction Economics,304.0,
575,GA483,Architectural Technology,281.0,273.0
576,GA484,Civil Engineering,377.0,
577,GA580,Software and Electronic Engineering,300.0,
578,GA680,Mechanical Engineering,400.0,
579,GA681,Energy Engineering,312.0,
580,GA682,Biomedical Engineering,331.0,
581,GA683,Agricultural Engineering,304.0,
582,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413.0,
583,GA685,Manufacturing Engineering Design,336.0,
584,GA780,Applied Freshwater and Marine Biology,366.0,
585,GA781,Applied Biology and Biopharmaceutical Science,381.0,
586,GA782,Chemical and Pharmaceutical Science,356.0,
587,GA783,Physics and Instrumentation,301.0,
588,GA784,Science (Undenominated),445.0,
589,GA785,Medical Science,517.0,510.0
590,GA786,Forensic Science and Analysis,408.0,
591,GA787,Computing in Software Development,310.0,
592,GA788,Computing and Digital Media,270.0,
593,GA789,Agriculture and Environmental Management,340.0,
594,GA790,Sport and Exercise Science,376.0,366.0
595,GA791,Public Health Nutrition,368.0,
596,GA880,General Nursing,440.0,
597,GA882,Psychiatric Nursing,369.0,
598,GA885,Outdoor Education,269.0,
599,GA887,History and Geography,201.0,
600,GA889,Applied Social Care,265.0,
601,GA890,Early Childhood Education and Care,281.0,227.0
602,GA891,Geography and Outdoor Education,261.0,
603,GA892,Community Development and Youth Work (Level 8),,
604,GA980,Education (Design Graphics and Construction),410.0,
605,GA981,Furniture Design and Manufacture,346.0,
606,GA982,Furniture Making and Architectural Woodworking,360.0,
607,GA983,Furniture and Digital Manufacturing,,
